"citizen_dr" "merch_dr" "peasants_dr"
"смотрит" 0.0326296211700982 0.0383846577247313 0.0384147512644856
"архип" 0 0.0535936730496248 0
"три" 0.0619962802231866 0.0347634635997567 0.0224086049042832
"дверь" 0.0130518484680393 0.0449028071496857 0.0224086049042832
"силыч" 0 0.0528694342246299 0
"сколько" 0.035892583287108 0.0333149859497668 0.0512196683526474
"стол" 0.0261036969360786 0.0347634635997567 0.0544208976246879
"видишь" 0.0195777727020589 0.0441785683246907 0.0160061463602023
"думаю" 0.0685222044572062 0.0340392247747617 0.0128049170881619
"егор" 0.0261036969360786 0 0.20487867341059
"никак" 0.0228407348190688 0.0427300906747009 0.0192073756322428
"никто" 0.0326296211700982 0.0383846577247313 0.0288110634483642
"твоя" 0.0293666590530884 0.020278687099858 0.112043024521416
"человека" 0.0261036969360786 0.0333149859497668 0.0576221268967283
"вижу" 0.0228407348190688 0.0376604188997364 0.0384147512644856
"аль" 0.0489444317551473 0.0391088965497262 0
"будто" 0.0424185075211277 0.0354877024247516 0.0224086049042832
"мол" 0.0293666590530884 0.0383846577247313 0.0224086049042832
"первое" 0.0195777727020589 0.0405573741997161 0.0224086049042832
"сделать" 0.0261036969360786 0.0289695529997972 0.0672258147128497
"стал" 0.0619962802231866 0.0238998812248327 0.0544208976246879
"лизавета" 0 0 0.217683590498752
"несколько" 0.00326296211700982 0.0289695529997972 0.0864331903450925
"тихо" 0.035892583287108 0.0376604188997364 0.0160061463602023
"эх" 0.0293666590530884 0.0325907471247719 0.0448172098085665
"говоришь" 0.00978888635102946 0.0362119412497465 0.0448172098085665
"господин" 0.0195777727020589 0.0231756423998378 0.0928356488891734
"ильич" 0.218618461839658 0 0
"й" 0 0.0485240012746603 0
"маломальский" 0 0.0485240012746603 0
"мою" 0.0195777727020589 0.0354877024247516 0.0384147512644856
"через" 0.0163148105850491 0.041281613024711 0.0160061463602023
"мои" 0.0587333181061768 0.0260725976998175 0.0384147512644856
"бывало" 0.0652592423401964 0.0275210753498074 0.0224086049042832
"вдруг" 0 0.041281613024711 0.0256098341763237
"входят" 0.0261036969360786 0.0383846577247313 0.0128049170881619
"доме" 0.0489444317551473 0.0333149859497668 0.0128049170881619
"милости" 0.0717851665742161 0.0188302094498682 0.0544208976246879
"нету" 0.0326296211700982 0.0115878211999189 0.124847941609578
"никогда" 0.0195777727020589 0.0333149859497668 0.041615980536526
"сергей" 0.172936992201521 0.00072423882499493 0.0352135219924451
"тому" 0.0195777727020589 0.0296937918247921 0.0576221268967283
"челночек" 0 0.0470755236246705 0
"эти" 0.0391555454041179 0.0296937918247921 0.0384147512644856
"дедушка" 0.0228407348190688 0.0246241200498276 0.0736282732569307
"деле" 0.00978888635102946 0.0383846577247313 0.0256098341763237
"какую" 0.0293666590530884 0.0289695529997972 0.048018439080607
"любим" 0 0.0463512847996755 0
"моей" 0.0293666590530884 0.0282453141748023 0.0512196683526474
"эту" 0.0456814696381375 0.0304180306497871 0.0256098341763237
"господа" 0.035892583287108 0.0217271647498479 0.0704270439848902
"любит" 0.0163148105850491 0.0376604188997364 0.0192073756322428
"никон" 0.0815740529252455 0 0.121646712337538
"ходит" 0.0489444317551473 0.031142269474782 0.0160061463602023
"чиновник" 0.00652592423401964 0.00434543294996958 0.176067609962226
"давно" 0.0195777727020589 0.0333149859497668 0.0320122927204046
"душу" 0.0456814696381375 0.0253483588748226 0.041615980536526
"муж" 0.0130518484680393 0.0362119412497465 0.0256098341763237
"пока" 0.0163148105850491 0.0376604188997364 0.0160061463602023
"прежде" 0.0261036969360786 0.0383846577247313 0.00320122927204046
"самсоновна" 0 0.0449028071496857 0
"известно" 0.0619962802231866 0.0231756423998378 0.0320122927204046
"конечно" 0.0195777727020589 0.0362119412497465 0.0160061463602023
"погоди" 0.0163148105850491 0.0354877024247516 0.0224086049042832
"постой" 0.0326296211700982 0.0340392247747617 0.0128049170881619
"том" 0 0.0253483588748226 0.0832319610730521
"угодно" 0.0391555454041179 0.0289695529997972 0.0288110634483642
"уходят" 0.035892583287108 0.0347634635997567 0.00640245854408093
"этим" 0.0163148105850491 0.0325907471247719 0.0352135219924451
"этому" 0.0456814696381375 0.0333149859497668 0.00320122927204046
"будешь" 0.035892583287108 0.0267968365248124 0.0384147512644856
"давай" 0.0326296211700982 0.0304180306497871 0.0256098341763237
"кланяется" 0.0195777727020589 0.0318665082997769 0.0320122927204046
"марья" 0.035892583287108 0.0275210753498074 0.0352135219924451
"нешто" 0.0130518484680393 0.0398331353747212 0.00320122927204046
"твое" 0.035892583287108 0.0253483588748226 0.0448172098085665
"тот" 0.0293666590530884 0.0282453141748023 0.0384147512644856
"встает" 0.0163148105850491 0.0354877024247516 0.0160061463602023
"наше" 0.0261036969360786 0.0318665082997769 0.0224086049042832
"скоро" 0.0228407348190688 0.0362119412497465 0.00640245854408093
"твой" 0.035892583287108 0.0238998812248327 0.048018439080607
"тишка" 0 0.0427300906747009 0
"хозяин" 0.0195777727020589 0.0383846577247313 0
"место" 0.0293666590530884 0.0333149859497668 0.00960368781612139
"пора" 0.0261036969360786 0.0296937918247921 0.0288110634483642
"пошел" 0.0456814696381375 0.0231756423998378 0.0384147512644856
"своим" 0.0195777727020589 0.0260725976998175 0.0512196683526474
"сергеич" 0 0.00144847764998986 0.179268839234266
"собой" 0.0163148105850491 0.0282453141748023 0.0448172098085665
"коршунов" 0 0.041281613024711 0
"пьет" 0.035892583287108 0.0296937918247921 0.0160061463602023
"свой" 0.00978888635102946 0.0267968365248124 0.0544208976246879
"сказал" 0.0261036969360786 0.0275210753498074 0.0352135219924451
"батюшки" 0.0293666590530884 0.0217271647498479 0.0544208976246879
"беда" 0.0326296211700982 0.0318665082997769 0.00640245854408093
"пусть" 0.00652592423401964 0.0383846577247313 0.00320122927204046
"разговаривать" 0.0261036969360786 0.0318665082997769 0.0128049170881619
"разлюляев" 0 0.0405573741997161 0
"татьяна" 0.0946259013932848 0.0195544482748631 0
"туда" 0.035892583287108 0.0296937918247921 0.0128049170881619
"хлынов" 0 0.0405573741997161 0
"хотите" 0.0195777727020589 0.0325907471247719 0.0160061463602023
